PerformanceId,JokeId,Pitch,PitchStd,Intensity,IntensityStd,HumanScore,HumanScorePostJokeOnly
8,111,225.0429685741256,61.286129436789,74.0013760661687,6.549593937549722,1,1
8,12,0,0,68.35341365110882,1.8632197526661654,-1,-1
8,137,128.26914653563875,3.750275354674199,69.3817932394417,1.7127662637032377,-1,-1
8,13,87.69288195155765,0.9511327589896832,68.70423881984907,1.9517822850922353,-1,-1
8,14,193.45561115501405,0.6616358392248924,68.99934685526216,2.1933638586830373,0,0
8,15,220.539051577733,44.6718983570082,70.72149715824234,3.7493286977927918,0,0
8,16,0,0,68.61116034552573,1.4908165120093015,-1,-1
8,123,0,0,68.65679207722182,1.2413750738407043,-1,-1
8,17,0,0,69.46073256270503,1.8704184459423234,-1,-1
8,18,172.86257857370154,44.49480066780919,70.32822839179833,3.3388490001789015,0,0
8,131,171.33761955327736,7.437434376204336,72.63996869831655,5.365163871850894,1,1
8,19,0,0,67.98902154478024,1.653794577687548,-1,-1
8,20,0,0,68.83009914441983,1.5153193060744388,-1,-1
8,139,247.60934033715023,7.425579129885746,70.72968634803938,3.054380559954992,1,-1
8,21,185.3823226044368,29.10368216293497,74.664356253834,6.703484778474275,1,1
8,102,0,0,67.92370732242668,1.5053309184063495,-1,-1
8,22,164.25737787387615,8.680097712528505,71.39324216631738,4.186565241495385,1,1
8,23,177.57159791831967,49.25311697710316,70.90580521796252,4.118496207707314,-1,-1
8,24,251.947835355457,5.300622292973286,68.93626623132576,1.8948659664196175,0,0
8,25,0,0,68.43370144682129,1.4825992092779043,-1,-1
8,103,0,0,68.67847855732515,1.9873530262769445,-1,-1
8,26,179.84424322929277,31.222547527919403,71.9626344515001,6.252215247585731,-1,-1
8,27,166.8795939217269,32.25208811310272,73.67259911098972,5.919878167295766,1,1
8,108,0,0,68.53245510666288,1.0900331597413593,-1,-1
8,28,184.00593595592952,32.24663508557458,69.57556028880904,2.621867658358586,0,0
8,29,158.63474158473514,47.62128200370774,81.16628850900011,5.59231771764519,1,1
9,3,199.87178608690536,52.32982051588474,75.18666743230902,4.970245619804756,1,1
9,4,0,0,78.14454696750911,7.699252654113569,1,1
9,115,219.81316765368996,68.15724498312602,74.35214376961054,6.060769430570864,1,1
9,5,248.04384408022474,1.1014460472682106,68.2553667597636,1.6937312732817154,0,-1
9,6,213.26467259020046,45.98963341732505,72.082144550938,4.719749352162394,1,1
9,7,205.98222688252122,1.0939802508595358,69.50624988260677,2.9492905071725852,-1,-1
9,8,0,0,68.69344544093423,1.995819551025788,-1,-1
9,135,192.40138050727737,8.04043745388237,73.55390131339834,5.510437799817111,0,0
9,9,271.72728392719097,5.211349929307744,68.63086483977561,2.19779918476222,-1,-1
9,10,277.16674769413714,18.369053062372625,69.44619742577147,3.350755715802537,0,0
9,117,0,0,67.67762218734848,1.2918137168852921,-1,-1
9,11,194.86175307224926,30.72858216877815,75.24120798412586,6.232631637880401,1,1
9,111,0,0,68.8115236231909,1.9260913727688551,-1,-1
9,12,0,0,70.1357048961494,3.225966881117512,-1,-1
9,137,235.4617281242959,5.2656188686601455,70.71917446335291,3.955556906412924,-1,-1
9,13,0,0,68.89500497611196,2.0671983660147992,-1,-1
9,14,0,0,67.85745887220759,1.4955490805023552,-1,-1
9,15,240.76578543807923,40.85015817582135,73.46678356349071,5.546949186740635,1,1
9,16,0,0,68.13690793214157,1.646272281963461,-1,-1
9,122,240.79507508570214,68.31561839043522,70.27267474467052,2.626958314615106,0,0
9,17,184.4391266943566,19.267330816534564,69.01516331994105,2.20798145809191,0,-1
9,18,201.69258119119726,31.78368411885449,69.82449237350612,2.6467612573586914,0,0
9,129,232.5032894897217,38.39834115987277,73.12409336270177,6.506286309603214,1,1
9,19,0,0,68.17805420391133,1.5400631210905946,-1,-1
9,20,157.01923232793024,33.89665298220247,69.47219584870057,2.221100662528836,-1,-1
9,140,171.25713202831872,1.8364109677503795,74.34208297557429,5.345741358881311,0,0
9,21,82.45934262241907,0.7418451508636998,69.39894847192197,1.8863861790222345,-1,-1
9,102,0,0,68.4137299112507,1.7781935371302249,-1,-1
9,22,0,0,68.5228278393168,1.6108595180818415,-1,-1
9,23,210.3679469072722,1.3772057819261945,70.26134738397002,3.251684576512339,0,0
9,29,197.66299879042185,29.14840917425367,78.207923292519,7.321022381286931,1,1
10,3,227.2707128541229,39.698200620243,72.31575369146968,5.229670564010547,1,1
10,4,228.97397933042,25.27584700578605,78.9825286907222,9.796915489978447,1,1
10,114,0,0,67.68100466810522,1.6170324737828603,1,1
10,5,248.92715702569794,31.76816565224574,71.49417647153938,5.59089359854981,0,1
10,6,236.78031613750676,41.96332710546197,86.7267664434575,6.705885947751451,1,1
10,7,195.02008831896921,56.521382419380835,80.82557541890742,9.931615316582686,1,1
10,8,0,0,67.93211235130288,1.6840771192153328,0,-1
