/home/sharer/all_robot_comedy/robot_comedy/2018-08-25 Flappers Showcase/
0.50 --undefined-- 75.583
0.75 --undefined-- 75.395
1.00 --undefined-- 74.871
1.25 --undefined-- 70.592
1.50 --undefined-- 69.261
1.75 --undefined-- 68.779
2.00 --undefined-- 68.032
2.25 187.363 83.723
2.50 --undefined-- 72.948
2.75 --undefined-- 80.264
3.00 229.736 --undefined--
pause_4.mp3
0.25 --undefined-- 79.666
0.50 --undefined-- 72.462
0.75 --undefined-- 82.745
1.00 --undefined-- 85.284
1.25 --undefined-- 85.027
1.50 --undefined-- 82.585
1.75 --undefined-- 82.995
2.00 --undefined-- 78.171
2.25 --undefined-- 78.805
2.50 --undefined-- 74.062
2.75 --undefined-- 79.667
3.00 --undefined-- 68.871
3.25 --undefined-- 68.166
3.50 --undefined-- 68.489
pause_5.mp3
0.25 --undefined-- 74.777
0.50 --undefined-- 87.524
0.75 --undefined-- 86.971
1.00 --undefined-- 84.835
1.25 --undefined-- 81.846
1.50 --undefined-- 75.747
1.75 180.154 83.214
2.00 260.243 76.855
2.25 --undefined-- 68.796
2.50 --undefined-- 68.275
2.75 --undefined-- 68.095
pause_6.mp3
0.25 --undefined-- 68.684
0.50 --undefined-- 71.733
0.75 --undefined-- 69.304
1.00 --undefined-- 69.835
1.25 --undefined-- 71.056
1.50 --undefined-- 68.201
1.75 --undefined-- 68.281
2.00 --undefined-- 68.212
2.25 --undefined-- 67.738
2.50 --undefined-- 68.136
2.75 --undefined-- 71.742
3.00 --undefined-- 68.140
pause_7.mp3
0.25 --undefined-- 69.093
0.50 --undefined-- 69.535
0.75 --undefined-- 69.104
1.00 --undefined-- 66.944
1.25 --undefined-- 67.977
1.50 --undefined-- 69.529
1.75 --undefined-- 69.184
2.00 --undefined-- 71.635
pause_8.mp3
0.25 --undefined-- 68.403
0.50 --undefined-- 68.038
0.75 --undefined-- 68.168
1.00 --undefined-- 68.459
1.25 --undefined-- 67.853
1.50 --undefined-- 69.039
1.75 --undefined-- 67.469
2.00 --undefined-- 75.301
2.25 --undefined-- 69.234
2.50 --undefined-- 70.424
2.75 190.440 78.776
3.00 --undefined-- 71.258
3.25 284.612 76.227
3.50 285.206 73.084
3.75 --undefined-- 67.683
4.00 --undefined-- 67.235
4.25 --undefined-- 67.987
4.50 --undefined-- 68.332
4.75 --undefined-- 67.448
5.00 --undefined-- 69.855
5.25 --undefined-- --undefined--
pause_9.mp3
0.25 --undefined-- 69.225
0.50 148.861 84.018
0.75 --undefined-- 81.665
1.00 --undefined-- 74.587
1.25 --undefined-- 71.452
1.50 --undefined-- 70.596
1.75 --undefined-- 72.656
2.00 --undefined-- 67.874
2.25 --undefined-- 68.557
2.50 --undefined-- 71.655
