/home/sharer/all_robot_comedy/robot_comedy/2018-07-26 Giggle Bash/
2.25 --undefined-- 67.456
2.50 --undefined-- 66.245
2.75 --undefined-- 71.511
3.00 --undefined-- 66.850
pause_6.mp3
0.25 217.492 77.963
0.50 235.550 82.942
0.75 --undefined-- 69.230
1.00 --undefined-- 68.634
1.25 --undefined-- 66.544
1.50 --undefined-- 68.010
1.75 --undefined-- 69.887
2.00 --undefined-- 68.362
2.25 --undefined-- 81.997
2.50 --undefined-- 74.815
2.75 --undefined-- 79.710
3.00 --undefined-- 83.500
3.25 243.548 83.170
3.50 143.199 74.821
3.75 --undefined-- 67.982
4.00 --undefined-- 65.739
4.25 --undefined-- 67.518
4.50 --undefined-- 67.385
4.75 --undefined-- 66.493
5.00 --undefined-- 70.670
5.25 --undefined-- 69.116
5.50 --undefined-- 67.477
pause_7.mp3
0.25 --undefined-- 71.525
0.50 --undefined-- 73.733
0.75 --undefined-- 69.042
1.00 --undefined-- 69.919
1.25 --undefined-- 74.029
1.50 --undefined-- 72.891
1.75 --undefined-- 69.437
2.00 286.655 79.722
2.25 --undefined-- 78.407
2.50 --undefined-- 75.648
2.75 --undefined-- 77.223
3.00 --undefined-- 78.092
3.25 --undefined-- 73.760
3.50 --undefined-- 67.444
3.75 --undefined-- 67.069
4.00 --undefined-- 67.392
pause_8.mp3
0.25 --undefined-- 88.993
0.50 --undefined-- 88.654
0.75 --undefined-- 89.680
1.00 --undefined-- 85.200
1.25 --undefined-- 87.139
1.50 --undefined-- 81.494
1.75 --undefined-- 78.798
2.00 --undefined-- 79.197
2.25 --undefined-- 73.351
2.50 --undefined-- 70.728
2.75 --undefined-- 71.133
3.00 --undefined-- 68.606
3.25 --undefined-- 67.054
3.50 --undefined-- 66.779
3.75 --undefined-- 67.675
4.00 --undefined-- 66.953
4.25 --undefined-- 68.895
pause_9.mp3
0.25 --undefined-- 67.617
0.50 --undefined-- 68.683
0.75 --undefined-- 68.533
1.00 --undefined-- 67.039
1.25 --undefined-- 67.748
1.50 --undefined-- 67.437
1.75 --undefined-- 66.911
2.00 --undefined-- 68.315
