/home/sharer/all_robot_comedy/robot_comedy/2018-12-8 Columbo Show/
1.00 --undefined-- 68.514
1.25 --undefined-- 68.229
1.50 --undefined-- 67.719
1.75 --undefined-- 68.437
2.00 --undefined-- 68.536
pause_7.mp3
0.25 --undefined-- 78.886
0.50 --undefined-- 71.595
0.75 --undefined-- 69.091
1.00 --undefined-- 68.484
1.25 --undefined-- 71.251
1.50 --undefined-- 76.715
1.75 --undefined-- 75.974
2.00 --undefined-- 84.619
2.25 --undefined-- 84.789
2.50 164.495 85.718
2.75 --undefined-- 77.251
3.00 --undefined-- 77.322
3.25 --undefined-- 70.979
3.50 --undefined-- 68.396
3.75 --undefined-- 68.777
4.00 --undefined-- 71.175
4.25 --undefined-- 69.820
4.50 --undefined-- 68.307
pause_8.mp3
0.25 --undefined-- 76.301
0.50 --undefined-- 75.982
0.75 --undefined-- 77.935
1.00 --undefined-- 72.032
1.25 --undefined-- 72.123
1.50 --undefined-- 69.614
1.75 --undefined-- 70.840
2.00 --undefined-- 69.305
2.25 --undefined-- 70.635
2.50 --undefined-- 71.469
2.75 --undefined-- 69.666
3.00 --undefined-- 71.691
3.25 --undefined-- 70.380
pause_9.mp3
0.25 --undefined-- 68.963
0.50 --undefined-- 69.234
0.75 --undefined-- 68.792
1.00 --undefined-- 68.444
1.25 --undefined-- 68.128
1.50 --undefined-- 73.862
1.75 --undefined-- 68.933
2.00 --undefined-- 71.451
2.25 --undefined-- 74.336
2.50 --undefined-- 87.911
2.75 --undefined-- 84.277
3.00 --undefined-- 83.528
3.25 --undefined-- 74.542
3.50 --undefined-- 68.322
3.75 --undefined-- 70.609
4.00 --undefined-- 69.666
4.25 --undefined-- 68.435
4.50 --undefined-- 67.784
4.75 --undefined-- --undefined--
